作者,ふりがな,ピンイン,時代,作者紹介,作者簡介
鄭燮,ていしょう,zhèng xìe,清,"鄭 燮（てい しょう、康熙32年（1693年） - 乾隆30年（1765年））は、清代の画家、書家。興化の人で、字は克柔（こくじゅう）、板橋（はんきょう）と号した。詩書画すべてよくし、三絶の誉れ高い孤立独往の文人である。書がもっとも異彩を放っており、その書風は各体混交の奇矯なもの。画は揚州八怪の領袖的存在とされる。
揚州で書画を売りつつ科挙の受験勉強を続け、雍正10年（1732年）、挙人に及第し、乾隆元年（1736年、44歳）に進士の特別試験[1]に合格して翰林院に入った。乾隆7年（1742年）に范県の知事として赴任し、同11年（1746年）には濰県の知事に転任した。当時から鄭燮の詩書画は有名で、赴任地で彼の書体が流行したといわれる。",清代书画家、文学家，“扬州八怪”之一。字克柔，号板桥。擅长画竹、兰、石，诗文率真自然。
杜甫,とほ,dù fŭ,唐,"杜 甫（と ほ、712年（先天元年） - 770年（大暦5年））は、中国盛唐の詩人。字は子美。号は少陵野老、別号は杜陵野老、または杜陵布衣。「杜少陵」「杜工部」とも呼ばれる。律詩の表現を大成させた。中国文学史上最高の詩人として、李白の「詩仙」に対して、「詩聖」と呼ばれている。
770年（大暦元年） : 襄陽を通り洛陽を経由して長安に戻ろうとしたが、相江の舟の中で客死する。死因としては、頂き物の牛肉を食べ過ぎて亡くなった話が有名だが、この話が事実ではないとする意見も多く、確実な死因は不明。
770年（大暦元年） : 襄陽を通り洛陽を経由して長安に戻ろうとしたが、相江の舟の中で客死する。死因としては、頂き物の牛肉を食べ過ぎて亡くなった話が有名だが、この話が事実ではないとする意見も多く、確実な死因は不明。",唐代伟大的现实主义诗人，誉为“诗圣”。他生活在唐朝由盛转衰的时代，其诗深刻地反映了安史之乱前后的社会动荡与人民疾苦，被称为“诗史”。杜甫的诗风沉郁顿挫，格律严谨，情感真挚深沉。他虽一生颠沛流离，但始终心系苍生，忧国忧民。代表作有“三吏”“三别”及《春望》《登高》等。
杜牧,とぼく,dù mù,唐,"杜 牧（と ぼく、803年（貞元19年）- 853年（大中6年））は中国、晩唐期の詩人。京兆府万年県（現陝西省西安市）の人。字（あざな）は牧之。号は樊川。
晩唐の繊細な技巧的風潮を排し、平明で豪放な詩を作った。風流詩と詠史、時事諷詠を得意とし、艶麗と剛健の両面を持つ。七言絶句に優れた作品が多い。杜甫の「老杜」に対し「小杜」と呼ばれ、また同時代の李商隠と共に「晩唐の李杜」とも称される。 祖父に中唐の歴史家・杜佑を持ち、詩人の杜荀鶴は庶子と言われる。",唐代杰出的诗人、散文家。字牧之，号樊川居士。其诗俊爽简洁，情致深婉，被后世称为“小李杜”。
白居易,はくきょい,bái jū yì,唐,"白 居易（はく きょい、772年（大暦7年） - 846年（会昌6年））は、中唐の詩人。字は楽天。号は酔吟先生・香山居士。弟に白行簡がいる。
772年、鄭州新鄭県（現河南省新鄭市）に生まれた。子どもの頃から頭脳明晰であったらしく、5～6歳で詩を作ることができ、9歳で声律を覚えたという。
彼の家系は地方官として役人人生を終わる男子も多く、抜群の名家ではなかったが、安禄山の乱以後の政治改革により、比較的低い家系の出身者にも機会が開かれており、800年、29歳で科挙の進士科に合格した。35歳で盩厔県（ちゅうちつけん、陝西省）の尉になり、その後は翰林学士、左拾遺を歴任する。このころ社会や政治批判を主題とする「新楽府」を多く制作する。
815年、武元衡暗殺をめぐり越権行為があったとされ、江州（現江西省九江市）の司馬に左遷される。その後、中央に呼び戻されるが、まもなく自ら地方の官を願い出て、杭州・蘇州の刺史となり業績をあげる。838年に刑部侍郎、836年に太子少傅となり、最後は842年に刑部尚書の官をもって71歳で致仕。74歳のとき自らの詩文集『白氏文集』75巻を完成させ、翌846年、75歳で生涯を閉じる。",唐代伟大的现实主义诗人，字乐天，号香山居士。他是新乐府运动的倡导者，主张“文章合为时而著，歌诗合为事而作”。他的诗歌题材广泛，语言平易通俗，相传“老妪能解”。他十分关心民间疾苦，作品具有强烈的批判现实精神。代表作有《长恨歌》《琵琶行》《卖炭翁》等。
葉紹翁,はしょうおう,yè shāo wēng,南宋,南宋中期の詩人で、字は嗣宗、号は靖逸、龍泉人。故郷は建安（今の福建省の地方）、本姓は李。生没年月日不明。朝廷の小官を歴任した事がある。七言絶句に秀でていた詩人。,南宋诗人。字嗣宗，号靖逸。其诗格调清新，多写自然风光。名句“春色满园关不住”家喻户晓。
范成大,はんせいだい,fàn chéng dà ,南宋,"范成大（はん せいだい、1126年 - 1193年）は中国・南宋の政治家、詩人。字は致能、石湖居士と号した。南宋四大家の一人。
呉都（江蘇省蘇州）の出身。1154年に進士に及第し、戸曹監和済局の官を振り出しに著作佐郎をへて吏部郎官となったが一時退官する。知処州に返り咲いた時に税法の弊害を除くために義役の法を改めたことで認められ、礼部員外郎に崇政殿学士を兼ねた。中央にあっては、刑法・盬法・馬政を改良し饑民を救済する。蜀へ赴任したさいは西南の吐蕃を防ぐため、城柵を増築し兵数千を増加し敵を離間するなど、軍政上も功績を残した。國信使として金国に出たときは、金の朝廷の威嚇に屈せず宋朝の威信を保ち臣節を全うして帰国する。中書舎人となり、広西へ経略按撫使兼副知静江府として出て、中央にもどって敷文閣侍制となるが、すぐに四川の制置使とされる。中央にもどり権吏部尚書となり参知政事となったが、まもなく二度目の隠退をする。そして明州の知を命じられ、端明殿学士をへて一時は金陵（南京）に駐留し、資政殿学士となったが病気を理由に故郷に退き、そこで没する。崇国公に追封され、文穆と諡された。
范成大は人物鑑識に明察があり、有能な者を抜擢してことごとく幕下におき、小さな欠点にこだわらず長所を大いに用いたので、彼の配下からは二府の大臣に至った者が輩出したという。",南宋诗人、名臣。字致能，号石湖居士。其田园诗集大成，真实反映了农村生活。与陆游等并称四大诗人。
范仲淹,はんちゅうえん,fàn zhòng yān,北宗,"范仲淹（はんちゅうえん、989年（端拱2年） - 1052年（皇祐4年））は中国・北宋の政治家、文人。字は希文、諡は文正。
蘇州呉県（江蘇省蘇州市）の出身。2歳の時に父を失って母が長山の朱氏に再嫁したのでその姓に従い、名を説と改めたが、成長して生家を知るとともに本姓にもどした。應天府に行って苦学し、1015年に大中祥符中進士に及第して広徳軍司理参事となり晏殊に薦められて秘閣校理となり、つねに天下のことを論じて士大夫の気節を奮いたたせていた。仁宗が親政の時にあたって中央で採用され吏部員外郎となったが、宰相の呂夷簡に抗論して饒州に左遷された。以後、彼を支持した余靖・尹洙・欧陽脩も次々と朝廷を去り、自らを君子の朋党と称した。1038年に李元昊が西夏をたてると、轉運使として陝西をその侵攻から防ぎ辺境を守ること数年、号令厳明にして士卒を愛し、羌人は仲淹が龍圖閣直学士であることから「龍圖老子」と呼び、夏人は戒め合ってあえて国境を侵すことなく「小范老子、胸中自ずから数万甲兵あり」と恐れはばかった。そうした功績により諫官をしていた欧陽脩が推薦し枢密副使・参知政事となった。仲淹は富弼とともに上奏して、1.黜捗を明らかにし、2.僥倖を抑え、3.貢挙を精密にし、4.長官を厳選し、5.公田を均一にし、6.農桑を厚くし、7.武備を修め、8.恩信を推し、9.命令を重んじ、10.徭役を減ずる、などの十策を献じ施政の改革を図ったが、当時はすでに朋党の争いが弊害をあらわしており彼の案も悦ばれず、河東陝西宣撫使として出向し戸部侍郎などを歴任した。穎州に赴任する途上で没する。兵部尚書を追贈された。
宋代士風の形成者の一人で、六経・易に通じ常に感激して天下を論じ一身を顧みなかったという。散文に優れ『岳陽楼記』中の「天下を以て己が任となし、天下の憂いに先んじて憂え、天下の楽しみにおくれて楽しむ（先憂後楽、後楽園の由来）」は特に名高い。著書に『范文正公詩余』『范文正公集』24巻がある。",北宋政治家、文学家。字希文。倡导“先天下之忧而忧，后天下之乐而乐”。其诗格调豪健。
民歌,みんか,míng gē,北朝,民間で流行っていた詩,民歌是各族人民在生活劳动中集体创作的诗歌，语言直白生动，充满了生活气息和民族特色。
孟郊,もうこう,mèng jīao,唐,"孟郊（もうこう、751年 - 814年）は中国・唐代の詩人。字は東野、諡は貞曜先生という。
湖州武康（浙江省）の出身。狷介不羈で人嫌いのために、若い頃は河南省嵩山に隠れた。798年、50歳の時に三度目で進士に及第し、江蘇省溧陽の尉となった。一生不遇で、憲宗の時代に没する。
詩は困窮・怨恨・憂愁を主題としたものが多く、表現は奇異。韓愈とならんで「韓孟」と称せられる。蘇軾は賈島とならべて「郊寒島痩」、つまり孟郊は殺風景で賈島は貧弱と評す。韓愈が推奨するところの詩人であり、「送孟東野序」が知られている。『孟東野集』10巻がある。",唐代诗人。字东野。其诗多描写底层人民的困苦，风格清寒，与贾岛并称“郊寒岛瘦”。
孟浩然,もうこうねん,mèng hào rán,唐,"孟浩然（もう こうねん; もう こうぜん、Mèng Hàorán、689年 - 740年）は中国唐代（盛唐）の代表的な詩人。襄州襄陽（現在の湖北省襄陽市）出身。字も浩然。一説には、名は浩だとも言われる。
若い頃から各地を放浪し、義侠の振る舞いで人々と交流した。また後漢の龐徳公や後年の皮日休ゆかりの鹿門山（襄陽市）に隠棲したこともあった。玄宗の世となってから長安に赴き仕官しようとするが、科挙に及第していないのでかなわなかった。しかし、孟浩然を気に入った韓朝宗との約束を、飲み会のためにすっぽかして朝廷への推薦をだめにしたり、いざ玄宗の前に出ても不平不満を詩にして玄宗を怒らせるなど、立身出世には関心が薄かったようにもみえる。
孟浩然の詩は広く知れ渡り、王維・李白・張九齢らと親しく交際した（李白には「黄鶴樓送孟浩然之廣陵」という作品がある）。740年、背中にできものがあって調子の悪かった孟浩然は、訪ねてきた王昌齢を歓待するあまり容態が悪化して亡くなった。
自然を題材にした詩が評価されており、詩のなかに人生の愁いと超俗とを行き来する心情を詠みこんでいる。日本では五言絶句「春暁」が特に有名である。詩の特徴から王維と孟浩然は「王孟」と並称された。『孟浩然集』がある。",唐代著名的山水田园诗人。字浩然。其诗清淡旷远，意境深厚，与王维并称“王孟”。
楊万里,ようばんり,yáng wàn lĭ,南宋,"楊万里（よう・ばんり、1127年 - 1206年）は南宋時代の中国の学者・詩人。字は廷秀。
吉州吉水県（江西省吉水県）の出身。1154年に進士となり、張浚が宰相となった時に臨安府教授に任命され、ついで奉新県の知となり治績をあげた。虞允文・陳俊卿が宰相となった時に国士博士に抜擢され、太常博士・吏部右侍郎・将作少監をへて、漳州・常州の知となり、1174年から東宮講官が欠員となると孝宗が侍講に抜擢した。そこで『東宮勧読禄』を上奏して帝王治国の要諦を説き、宰相・王淮に『淳煕薦士録』という書で提言して朱熹・袁枢など60人を登用させた。1187年に高宗が崩じ、孝宗は3年の喪に服すために徳寿宮に入り、太子に詔して庶務を議事堂に処理させようとしたところ、楊万里はこの措置に反対し上疏して諫めたために孝宗の不興を買い、筠州の知へと左遷された。
光宗即位とともに秘書監となったが、江東転運副使となったときに朝廷が江南に鉄銭を普及させようとしたためにこれに反対して罷免される。寧宗即位の時にふたたび出仕して、宝文閣待制に進んだところで隠退する。韓侂冑が辺境で兵乱を起こしたことを聞き、憂いのあまり絶食して没する。光禄大夫を贈られ、文節と諡された。
楊万里は張浚によって「正心誠意」の学を授けられ、その言葉に深く感じ書斎を誠齋と名づけ、誠齋先生と呼ばれた。その学風は史伝を多く引証し、六経に精しかった。つとに異民族に侵略された北方の回復を望み、君道・国務・治原など30カ条の文を作り「千慮策」として朝廷に献じたこともある。
詩人としても名声が高く、南宋の詩人としては陸游についで伝わる作が多い。陸游が晩年、韓侂冑に妥協したのに対し楊万里は節を曲げず、そのため「詩品の洗練されていることでは陸游がまさるが、人品を問うならば陸游は楊万里に遠くおよばない」と羅大経が論じている。その詩法は江西詩派の流れをくみ黄庭堅風の詩を書いていたが、のちに自らその時期の詩を焼き捨てたという。唐詩を愛好し、観察発想が奇抜であり「才思健抜」と称せられた。宋詩のうちもっとも俗語を多用するという。その詩文はすべて、楊万里の長男が編纂した『誠齋集』133巻に収められている。",南宋诗人。字廷秀，号诚斋。其诗风格清新活泼，被称为“诚斋体”。善于捕捉自然瞬间的意趣。
駱賓王,らくひんおう,lùo bīn wáng,唐,"駱賓 王（らくひん おう，640年? - 684年?）は唐代中国の詩人。「初唐の四傑」の一人。
婺州義烏（浙江省義烏市）の出身。初めから落魄し、好んで博徒と交わり、性格は傲慢・剛直。高宗の末年に長安主簿となり、ついで武后の時に数々の上疏をしたが浙江の臨海丞に左遷される。出世の望みを失い、官職を棄てて去った。684年に李敬業が兵を起こすと、その府属となり敬業のために檄文を起草して武后を誹謗、その罪を天下に伝えた。武后はその檄を手に入れて読ませ「蛾眉敢えて人に譲らず　孤眉偏に能く主を惑わす」のあたりでは笑っていたが「一抔土未乾、六尺孤安在」の句にいたり愕然としてその作者の名を問い、駱賓王であることを知ると「このような才ある者を流落不遇にしたのは宰相の過ちである」と言ったという。敬業の乱が平定された後は、亡命して行方が知れなくなった（一説には誅殺されたとも）。銭塘の霊隠寺に住んでいたという伝説もあり、霊隠寺と題する詩もある。
7歳から良く詩を賦し、成長してからは五言律詩にその妙を得た。ことにその「帝京篇」は古今の絶唱とされる。好んで数字を用いて対句をつくるので「算博士」の俗称がある。武后は駱賓王の文を重んじ、詔してその文章の数百編を集めて郄雲卿に命じ編纂させたのが、『駱丞集』4巻である（『新唐書』『旧唐書』ともに10巻とある）。それに頌・賦・五七言古・五律・排律・絶句・七言絶句・啓・書・叙・雑著の11項目に分かれて、作品が収められている。",唐代诗人，“初唐四杰”之一。字观光。才思敏捷，其《咏鹅》是流传最广的儿童启蒙诗之一。
李嶠,りきょう,lĭ qíao,唐,李嶠（644～713）唐代の詩人。字名は巨山。現在の河北省の人で鬼才の人。二十歳に10位以内の成績で科挙に合格している。監察御史を歴任。厳二州僚族が決起した時に、自ら危険を顧みずに僚洞に入り投降を勧め、戦になる前に解決した功績がある。彼が残した詩吟は120首あるが、唐玄宗が安史の乱の為、長安を離れる前に楼閣で吟じた詩は聞く人々に強烈な共鳴感を与え、皆が「天才」だと称賛した。,唐代诗人。字巨山。曾任中书令。其诗内容广泛，多咏物之作，风格工整流丽。
陸游,りくゆう,lù yóu,南宋,中国，南宋時代の詩人。字は務観，号は放翁。浙江省紹興の出身。85年の生涯にほぼ1万首の詩をのこし，南宋第一の詩人といわれる。当時中国の北半分を女真族の国家金が占領，地方官をつとめていた父陸宰は官界では少数派の徹底抗戦をとなえる憂国の士で，陸游はその影響下に育った。30歳のとき，科挙の試験で宰相秦檜（しんかい）(金との和睦派のリーダー)の孫と首位を争ったが，秦檜のさしがねで落第のうき目にあう。のち進士の資格は得たが，抗戦派として政界で疎外され，最終官も名誉職に近い秘書監にとどまった。,南宋伟大的爱国诗人。字务观，号放翁。其诗充满爱国激情，语言精练，气势雄放。
李商隠,りしょういん,lĭ shāng yĭn,唐,"李商隠（り しょういん、812年（元和7年） - 858年（大中12年）。ただし、生年は813年の説あり）は、晩唐の官僚政治家で、時代を代表する漢詩人。字は義山、号は玉谿生。また獺祭魚と呼ばれる。懐州河内（現河南省沁陽市）の人。官僚としては不遇だったが、その妖艶で唯美的な詩風は高く評価されて多くの追随者を生み、北宋初期に一大流行を見る西崑体の祖となった。似たような婉約な詩風を特徴とする同時代の温庭筠と共に温李と呼ばれ、また杜牧と共に小李杜とも称される。
李商隠の詩の面目は艶情詩にある。その定型詩、特に『無題』とされる幾つかの、あるいは単に詩句から借りただけの題を付けられた律詩は、晩唐詩の傾向である唯美主義をいっそう追求し、暗示的・象徴的な手法を駆使して、朦朧とした幻想的かつ官能的な独特の世界を構築している。そのテーマは破局に終わった道ならぬ恋愛の回想であり、甘美な夢のごとき青春の記憶の叙述である。当然、内容ははなはだ哀愁を帯びるが、典雅な詩句や対句、典故で飾られ、耽美の域に達している。美しく悲しいごく私的な記憶や感慨を詩によって昇華させる、それが李商隠の詩風であった。",晚唐著名诗人。字义山，号玉溪生。其诗构思奇丽，语言优美，多用典故，意境朦胧深邃。
李紳,りしん,lĭ shēn,唐,李紳（772～846）漢族、現在の安徽省出身の詩人。父は烏程、晋陵（現在の常州）等の県令を務めた事があるが、李紳が幼少の頃に亡くなり、以後母の手で育てられる。15歳頃に恵山で勉学に励むが、農民が衣食足りずに労働に励んでいるのを目の当たりにし、同情と憤怒の心情を書き記した「憫衣」詩2首、「四海無閑田、農夫憂餓死」と「誰知盆中餐、粒粒皆辛苦」の名句があり、憫衣の詩人と称えられている。804年に再度都に赴き、試験を受けるも落第。その後、金陵に赴き節度使へと入るも謀反をたくらんだため投獄されるが、それから40年以上も官僚としての生涯を送り、数々の詩を世に残している。,唐代诗人。字公垂。新乐府运动的参与者。其《悯农》两首妇孺皆知，表达了对农民的同情。
李清照,りせいしょう,lĭ qīng zhào,北宗,"李清照（りせいしょう、1084年 - 1153年）[1]は、北宋末期・南宋初期の詩人。斉州章丘（現在の山東省済南市の県級市章丘市）の人。夫は政治家の趙明誠。中国史上を代表する女流詞人として知られている。
18歳の時、当時太学の生徒であった3歳年上の夫と知り合って結婚する。本や古器物をこよなく愛した二人は衣類を質に入れては気に入った本などを購入したと言われるほどの蔵書家であった。後に清照は夫の『金石録』編纂を手伝う事になる。
ところが、母の葬儀のために夫婦揃って帰郷の途中、靖康の変が発生して夫の任地も金軍の攻撃を受けて蔵十数個に分散されていた蔵書類は悉く焼かれてしまう。更に1129年に臨安の宮廷に召されていた夫が48歳で急死、清照とともに残された車十数台分の蔵書の残りも金軍の兵火と流民の略奪によって悉く失われた。更に再婚した夫に虐待された末に離別して流浪の生涯を送る中で優れた詞を多く生み出したと言う。",南宋女词人，婉约派代表。号易安居士。其词风格清丽、感人至深，被誉为“千秋才女”。
