タイトル,作者名,時代,漢詩本文,和訳,解説
尋隠者不遇,賈島,唐,"松下問童子
言師採薬去
只在此山中
雲深不知処",松の下で子供に尋ねると、先生は薬草を採りに出かけたと言う。ただこの山の中にいるはずだが、雲が深くどこにいるのか分からない。,通过问答的形式，描写了诗人在山中寻找隐者未果的情景，表现了隐者高洁、超脱的品质。
楓橋夜泊,張継,唐,"月落烏啼霜満天
江楓漁火対愁眠
姑蘇城外寒山寺
夜半鐘声到客船",月は落ちカラスが鳴き、霜の気配が天に満ちている。川沿いの楓と漁火が旅の愁いの中にまどろむ私の目に映る。姑蘇の城外にある寒山寺から、夜半を告げる鐘の音が客船まで届く。,描绘了秋夜水乡的静谧与忧愁，客船中的诗人听着寒山寺的钟声，感受着无尽的旅愁。
漁歌子,張志和,唐,"西塞山前白鷺飛
桃花流水鱖魚肥
青篛笠、緑蓑衣
斜風細雨不須帰",西塞山の前を白鷺が飛び、桃の花が流れる川ではケツ魚が肥えている。青い竹皮の笠に緑の蓑を着て、斜めに吹く風や小雨の中でも帰る必要はない（この景色を楽しもう）。,描绘了江南水乡春汛期间的宁静生活，诗人借此表达了自己远离尘嚣、自得其乐的情怀。
寒食,韓翃,唐,"春城無処不飛花
寒食東風御柳斜
日暮漢宮伝蝋燭
軽煙散入五侯家",春の町中には至る所に花が舞い、寒食節の東風に宮廷の柳がなびいている。日が暮れると宮中から蝋燭の火が伝わり、かすかな煙が権力者たちの家へと散っていく。,通过描写寒食节都城春色和宫廷传烛的情景，含蓄地讽刺了权贵享乐的社会现象。
滁州西澗,韋応物,漢,"独怜幽草澗辺生
上有黄鸝深樹鳴
春潮帯雨晩来急
野渡無人舟自横",ただ谷川のほとりに生えるひっそりとした草が愛おしい。上では深い樹木の中でコウライウグイスが鳴いている。春の潮が雨を伴って夕暮れに急に増し、野の渡し場には人もなく舟だけがひとりでに横たわっている。,描写了滁州西涧幽静宜人的春景。诗中蕴含着诗人恬淡、悠闲的情怀，是一首著名的山水田园诗。
游子吟,孟郊,唐,"慈母手中線
游子身上衣
臨行密密縫
意恐遅遅帰
誰言寸草心
報得三春暉",慈しみ深い母の手にある糸は、旅立つ息子の着る服を縫うためのもの。出発を前に心を込めて細かく縫うのは、帰りが遅くなるのを心配しているからだ。誰が言えようか、小さな草のような子の心が、三春の太陽のような母の大きな恩に報いられるなどと。,歌颂了母爱的伟大与无私。以“寸草心”难以报答“三春晖”作比，感人至深。
竹枝詞,劉禹錫,唐,"楊柳青青江水平
聞郎江上唱歌声
東辺日出西辺雨
道是無晴却有晴",柳の緑が青々と茂り、川の水面は静かだ。川の上から貴方の歌う声が聞こえてくる。東では太陽が昇り、西では雨が降っている。「晴」ではないと言うけれど、やはり「情（晴と同じ音）」があるのですね。,这是一首具有民歌风格的抒情诗。诗人巧妙地利用“晴”与“情”同音的特点，表达了少女对恋人情感的猜测与欣喜。
烏衣巷,劉禹錫,唐,"朱雀橋辺野草花
烏衣巷口夕陽斜
旧時王謝堂前燕
飛入尋常百姓家",朱雀橋のたもとには野草の花が咲き、烏衣巷の入り口には夕陽が斜めに差し込んでいる。かつて名門・王家や謝家の屋敷に住んでいた燕が、今は普通の民家へと飛んで入っていく。,通过描写乌衣巷今昔对比，感叹沧海桑田、盛衰无常，含蓄地表达了对历史变迁的深沉感慨。
望洞庭,劉禹錫,唐,"湖光秋月両相和
潭面無風鏡未磨
遥望洞庭山水翠
白銀盤裏一青螺",湖の光と秋の月が互いに調和し合い、風のない水面はまだ磨かれていない鏡のようだ。はるかに洞庭湖の山水の緑を眺めれば、まるで白銀の皿の中にある一つの小さな青い巻貝のようだ。,诗人运用新颖的比喻，生动地描绘了洞庭湖的秋月景色，意境优美、格调清新。
浪淘沙,劉禹錫,唐,"九曲黄河万里沙
浪淘風簸自天涯
如今直上銀河去
同到牽牛織女家",九たび折れ曲がる黄河は万里の彼方から砂を運び、波に洗われ風に揺られて天の果てからやってくる。今こそこのまま銀河まで遡って行き、牽牛と織女の家まで一緒に行こうではないか。,描写了黄河波涛滚滚、淘尽泥沙的壮阔景象。诗人气势豪迈，表达了对自然伟力的赞美。
憶江南,白居易,唐,"江南好
風景旧曾諳
日出江花紅勝火
春来江水緑如藍
能不憶江南",江南は素晴らしい。その風景はかつて親しんだものだ。日が昇れば川辺の花は火よりも赤く輝き、春が来れば川の水は藍のように緑色をしている。どうして江南を思い出さずにいられようか。,白居易以洗练的语言，深情地回忆了他在苏杭任职期间对江南美景的深刻印象，表达了对第二故乡的深切怀念。
憫農(1),李紳,唐,"鋤禾日当午
汗滴禾下土
誰知盤中餐
粒粒皆辛苦",正午の太陽の下で苗を耕し、汗は苗の下の土に滴り落ちる。誰が知っていようか、皿の上のご飯の一粒一粒が、すべて農民の苦労の結晶であることを。,描写了农民在烈日下劳作的艰辛，劝诫人们要珍惜粮食，懂得粒粒皆辛苦的道理。
憫農(2),李紳,唐,"春種一粒粟
秋收万顆子
四海無閑田
農夫猶餓死",春に一粒の種をまき、秋には万の粒を収穫する。世の中に耕されていない田などないのに、それでも農民は飢えて死んでいくのだ。,揭露了社会不公的现象，农民辛勤劳作却依然挨饿，表达了诗人对底层人民的深切同情。
山行,杜牧,唐,"遠上寒山石径斜
白雲生処有人家
停車坐愛楓林晩
霜葉紅於二月花",遠く秋の山へ登って行くと、石の小道が斜めに続いている。白雲が湧き起こる辺りにも人の家がある。車を止めて、夕暮れの楓の林をうっとりと眺める。霜に打たれた紅葉は、二月に咲く花よりも赤い。,描写了深秋时节山间的景色。通过对红叶的赞美，表现了诗人积极向上、不畏严寒的情操。
清明,杜牧,唐,"清明時節雨紛紛
路上行人欲断魂
借問酒家何処有
牧童遥指杏花村",清明の季節、雨がしとしとと降り続く。道を行く旅人は皆、悲しみに心を打ち砕かれそうだ。ちょっと尋ねるが、酒屋はどこにあるだろうか。牧童ははるか向こうの、杏の花が咲く村を指さした。,描写了清明时节细雨纷纷、游子思乡的情景。全诗意境凄美，语言清新自然。
江南春,杜牧,唐,"千里鶯啼緑映紅
水村山郭酒旗風
南朝四百八十寺
多少楼台煙雨中",千里の遠くまでウグイスが鳴き、新緑に紅の花が映えている。水辺の村や山の里には、酒屋の旗が風になびいている。南朝の時代に建てられた多くの寺院が、今は霧雨の中にどれほどの楼台が見え隠れしていることか。,全诗不仅描写了江南春景的明丽，也通过对寺庙的描写，隐晦地表达了诗人对历史兴替的思考。
楽游原,李商隠,唐,"向晩意不適
駆車登古原
夕陽無限好
只是近黄昏",夕暮れどき、心が晴れないので車を走らせて古い丘（楽遊原）に登った。夕陽は限りなく素晴らしいが、ただ黄昏が近づいているのが惜しまれる。,描写了诗人登高远眺夕阳的情景，既赞美了美景，也流露出时光流逝、美好的事物难以长久的感慨。
商山早行,温庭筠,唐,"晨起動征鐸
客行悲故郷
鶏声茅店月
人跡板橋霜
槲葉落山路
枳花明駅墻
因思杜陵夢
鳧雁満回塘",明け方に起きて馬の鈴を鳴らし出発する。旅を行く身には故郷への思いが悲しく響く。鶏の鳴き声が聞こえる茅葺きの宿に月がかかり、板橋の上には人の足跡が霜の中に残っている。カシの葉が山道に落ち、カラタチの花が駅舎の壁を明るく照らす。ふと故郷・杜陵での夢を思い出すと、そこには鴨や雁が池に満ちていた。,描写了诗人早起赶路的情景，通过对清晨景象的细腻刻画，抒发了浓郁的思乡之情。
元日,王安石,北朝,"爆竹声中一歳除
春風送暖入屠蘇
千門万戸曈曈日
総把新桃換旧符",爆竹の音の中で古い年が去り、暖かい春風が吹き込んで屠蘇酒を酌み交わす。どの家も、昇る朝日に照らされながら、古い桃符を取り外して、新しいものへと掛け替えるのだ。,描写了春节辞旧迎新的热闹景象，以此表达了诗人推行新法、除旧布新的政治抱负。
梅花,王安石,北朝,"墻角数枝梅
凌寒独自開
遥知不是雪
為有暗香来",塀の隅にある数枝の梅。寒さをしのいで独り咲いている。遠くから見てもそれが雪でないと分かるのは、ほのかな香りが漂ってくるからだ。,诗人通过赞美梅花不畏严寒、凌寒独放的品格，寄托了自己清高坚贞、卓尔不群的志向。
六月二十七日望湖楼酔書,蘇軾,北宗,"黒雲翻墨未遮山
白雨跳珠乱入船
巻地風来忽吹散
望湖楼下水如天",黒い雲が墨をぶちまけたように広がったが、まだ山を隠しきれてはいない。白い雨が真珠のように跳ねて舟の中へ乱れ入る。地面を巻くような風が来て、雲を不意に吹き散らすと、望湖楼の下には天のように青々とした水面が広がっている。,生动地描绘了西湖上雷雨忽来忽去的壮观景象，表现了大自然神奇多变的力量和诗人开阔的胸怀。
飲湖上初晴後雨,蘇軾,北宗,"水光瀲灩晴方好
山色空蒙雨亦奇
欲把西湖比西子
淡妝濃抹総相宜",水面がきらきらと輝く晴れた日の景色は素晴らしいが、山々が霧に包まれる雨の景色もまた不思議な魅力がある。西湖を絶世の美女、西施に例えるなら、薄化粧も厚化粧もどちらも実によく似合っている。,诗人将西湖比作西子（西施），认为西湖无论晴天还是雨天都有独特的魅力，构思巧妙。
恵崇春江晩景,蘇軾,北宗,"竹外桃花三両枝
春江水暖鴨先知
蔞蒿満地蘆芽短
正是河豚欲上時",竹林の外に桃の花が二、三枝咲き始めた。春の川の水が温かくなったことを、鴨がいち早く知って泳いでいる。地面にはヨモギが茂り、葦の芽が少し顔を出した。今はまさに河豚が川を遡ってこようとする時期だ。,这是苏轼为惠崇的画作写的题画诗。通过竹、桃花、鸭、蒌蒿、河豚，生动勾勒出早春气息。
示児,陸游,南宋,"死去元知万事空
但悲不見九州同
王師北定中原日
家祭無忘告乃翁",死んでしまえば万事は空になると分かってはいるが、ただ国土の統一を見られないことだけが悲しい。宋の軍隊が北進して中原を平定したその日には、家の法事の時に父に報告するのを忘れるな。,这是陆游的绝笔诗。表达了诗人临终前依然念念不忘收复中原的强烈爱国之情。
秋夜将曉出籬門迎凉有感,陸游,南宋,"三万里河東入海
五千仞嶽上摩天
遺民涙尽胡塵裏
南望王師又一年",三万里を流れる黄河は東へと海に入り、五千仞の高さを誇る華山は天を摩するばかりにそびえている。占領地に取り残された民衆は、異民族の砂塵の中で涙を流し尽くし、宋の軍隊が助けに来るのを南に望んで、また一年が過ぎてしまった。,表达了诗人对沦陷区百姓苦难生活的深切同情，以及收复失地的满腔爱国热忱和对朝廷无能的失望感。
小池,楊万里,南宋,"泉眼無声惜細流
樹陰照水愛晴柔
小荷才露尖尖角
早有蜻蜓立上頭",泉の出口は声を惜しむかのように細い流れを出し、木の陰が水面に映って晴れた日の柔らかな光を愛でている。小さな蓮の葉がようやく尖った角を出したばかりなのに、早くも一匹の赤とんぼがその先に止まっている。,描写了初夏小池的幽静与生机。诗人善于捕捉自然界细微的瞬间，极富情趣。
曉出凈慈寺送林子方,楊万里,南宋,"畢竟西湖六月中
風光不与四時同
接天蓮葉無窮碧
映日荷花別様紅",やはり六月の西湖の景色は、四季の他の時期とは全く異なっている。天に接するかのような蓮の葉はどこまでも青く、太陽に照らされた蓮の花はひときわ赤く輝いている。,描写了杭州西湖六月荷花接天映日的壮观美景，表达了诗人对自然奇観の由衷赞美。
四時田園雑興(1),范成大,南宋,"梅子金黄杏子肥
麦花雪白菜花稀
日長籬落無人過
惟有蜻蜓蛺蝶飛",梅の実が黄金色に熟し、杏の実も肥えてきた。麦の花は雪のように白く咲き、菜の花はまばらになった。日が長くなり、垣根のそばを通る人もない。ただ赤とんぼやアゲハ蝶が舞っているだけだ。,描绘了江南初夏时节宁静而美丽的乡村风光。诗人观察细致，笔调清新，表现了农村生活的安谧与祥和。
春日,朱熹,南宋,"勝日尋芳泗水浜
無辺光景一時新
等閑識得東風面
万紫千紅総是春",素晴らしい日に、泗水のほとりで春の景色を探し求める。広大な景色が一度に新しくなった。何気なく吹き抜ける東風（春風）の顔に気づけば、咲き誇る色とりどりの花はすべて春の現れなのだ。,全诗意境开阔、色彩绚丽。诗人通过对春景的赞美，表达了自己追求真理、心情愉悦的精神境界。
菩薩蛮・書江西造口壁,辛棄疾,金,"郁孤台下清江水
中間多少行人涙
西北望長安
可憐無数山
青山遮不住
畢竟東流去
江晩正愁余
山深聞鷓鴣",郁孤台の下を流れる清らかな江の水。その中には一体どれほどの旅人の涙が混ざっていることか。西北の空に都・長安を望もうとするが、悲しいかな無数の山が立ちはだかっている。だが青山は遮ることはできない、水は結局のところ東へと流れて行くのだ。江の夕暮れは私を愁いに沈ませ、深い山からはシャコの鳴き声が聞こえてくる。,词人借景抒情，表达了对国土沦丧的悲愤之情，以及对抗金事业必然胜利的信心。
題臨安邸,林升,南宋,"山外青山楼外楼
西湖歌舞幾時休
暖風薫得遊人酔
直把杭州作汴州",山の外にはさらに青山、楼閣の外にはさらに楼閣。西湖での歌や踊りの宴は、一体いつ終わるというのか。暖かい風が遊ぶ人々を酔わせ、彼らはこの杭州を、かつての都・汴州（開封）とすっかり勘違いしてしまっている。,讽刺了南宋统治者在国家危难之际依然沉溺于享乐，表达了诗人对国家命运的深深担忧。
游園不値,葉紹翁,南宋,"応憐屐歯印蒼苔
小扣柴扉久不開
春色満園関不住
一枝紅杏出墻来",きっと主人は下駄の歯が青い苔に跡をつけるのを惜しんでいるのだろう。柴の門を軽く叩いても、なかなか開けてくれない。だが園いっぱいの春色は閉じ込めておくことはできない。一枝の赤い杏の花が、塀を越えて外へ顔を出している。,虽然未能见到主人，但通过出墙的一枝红杏，诗人感受到了满园的春色，富有哲理与趣味。
墨梅,王冕,元,"吾家洗硯池頭樹
個個花開淡墨痕
不要人誇好顔色
只留清気満乾坤",我が家の硯を洗う池のほとりにある木。どの花も淡い墨の跡のように咲いている。人から美しい色だと褒められる必要はない。ただ清らかな香りだけが天地に満ちていればよいのだ。,这是一首题画诗。诗人通过对墨梅“不要人夸颜色好”的赞美，表达了自己清高坚贞的操守。
朝天子・咏喇叭,王磐,明,"喇叭、唢呐
曲児小、腔児大
官船来往乱如麻
全仗你抬身価
軍聴了軍愁
民聴了民怕
哪里去辨甚真共仮
眼見得吹翻了这家
吹傷了那家
只吹得水尽鵝飛罷",ラッパやチャルメラ。曲は短いが音はやたらと大きい。役人の船が麻のように乱れて行き交うのも、すべてお前が威光を笠に着ているおかげだ。軍隊が聞けば憂い、民衆が聞けば恐れる。何が本当で何が嘘かなど、どこで区別できようか。目の前でこの家を吹き潰し、あの家を吹き傷つけ、ただ水も尽きガチョウも逃げ出すまで吹き散らすだけだ。,这是一首讽刺权贵的散曲。通过对喇叭、唢呐的描写，揭露了封建官吏仗势欺人、搜刮百姓的丑恶嘴脸。
竹石,鄭燮,清,"咬定青山不放松
立根原在破岩中
千磨万撃還堅勁
任爾東西南北風",青山をがっちりと噛んで離さず、その根はもともと裂けた岩の中に立っている。いくら磨かれ打たれても、なおも堅く強い。東西南北から吹く風のなすがままに任せている。,通过赞美竹子扎根岩缝、顽强不屈的精神，表达了诗人刚正不阿、顶天立地的志气。
江南,楽府,前漢,"江南可採蓮
蓮葉何田田
魚戯蓮葉間
魚戯蓮葉東
魚戯蓮葉西
魚戯蓮葉南
魚戯蓮葉北",江南では蓮の実を採ることができる。蓮の葉は何と青々と生い茂っていることか。魚たちは蓮の葉の間で戯れている。魚たちは蓮の葉の東で戯れ、西で戯れ、南で戯れ、北で戯れている。,这是一首汉乐府民歌。通过描写人们採莲时的欢快情景和鱼儿戏水的灵动画面，展现了江南水乡清新活泼的生活气息。
風,李嶠,唐,"解落三秋葉
能開二月花
過江千尺浪
入竹万竿斜",秋の木の葉を吹き落とし、二月の花を咲かせる。川を渡れば千尺の波を立て、竹林に入れば万の竹をなびかせる。,通过对风引发的各种自然现象的描写，巧妙地展现了风的神奇力量和无处不在。
塞下曲,盧綸,唐,"月黒雁飛高
単于夜遁逃
欲将軽騎逐
大雪満弓刀",月は暗く、雁は高く飛び去っていく。敵の首領は夜陰に乗じて逃げ出した。軽騎兵を率いて追い詰めようとすれば、激しい大雪が弓や刀を白く埋め尽くしていく。,描写了将军在风雪之夜率兵追击敌军的情景，场面宏大，表现了边塞将士的英勇无畏。
